,company,type,rating,age,highly_ratedFOR,critically_ratedFOR
7050,Floating Numbers Digital Solutions,IT Services & Consulting ,3,6 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
7051,Board Infinity,Education & Training ,3.7,7 years old,Skill Development / Learning,"Job Security, Work Life Balance"
7052,Philips Domestic Appliances India,,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture",
7053,Dynamic Techno Medicals,Medical Equipment ,3.9,44 years old,Work Life Balance,Promotions / Appraisal
7054,Triveni Almirah,Furniture & Furnishing ,4.2,24 years old,"Salary & Benefits, Skill Development / Learning, Promotions / Appraisal",
7055,FNF India,IT Services & Consulting ,3.7,17 years old,"Job Security, Company Culture",Promotions / Appraisal
7056,"MAYBRIGHT VENTURES PRIVATE LIMITED, Kolkata",FinTech ,3.5,8 years old,"Work Satisfaction, Work Life Balance, Promotions / Appraisal",
7057,Vkl Seasoning,FMCG ,4.1,89 years old,Salary & Benefits,Promotions / Appraisal
7058,Reliance HR Services,Recruitment ,4,,"Work Satisfaction, Company Culture",
7059,Total Shipping & Logistics,Logistics ,3.6,26 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
7060,Hamad Medical Corporation,Healthcare ,3.8,45 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7061,Dr. Amin Controllers,Engineering & Construction ,3.9,49 years old,"Promotions / Appraisal, Salary & Benefits",
7062,Paperpedia,EdTech ,2.6,9 years old,"Job Security, Work Life Balance, Work Satisfaction",
7063,Kushal's Fashion Jewellery,Jewellery ,3.9,18 years old,Salary & Benefits,
7064,Imdaad,Facility Management Services ,4.4,17 years old,"Skill Development / Learning, Job Security, Work Life Balance",
7065,Prayag Polymers,Petrochemicals ,3.8,38 years old,"Job Security, Promotions / Appraisal",
7066,Hurix Digital,,3.3,,"Promotions / Appraisal, Work Satisfaction, Company Culture",
7067,Golden Tulip Hotels,Hospitality ,4.1,62 years old,"Job Security, Work Life Balance, Skill Development / Learning",
7068,Rave Technologies,IT Services & Consulting ,3.7,37 years old,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
7069,Gandhi Institute for Technology,Education & Training ,4.6,,"Skill Development / Learning, Job Security, Company Culture",
7070,SOGEFI,Auto Components ,3.5,44 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
7071,Matrix Clothing,Fashion & Textile ,4.3,44 years old,"Job Security, Work Life Balance, Work Satisfaction",
7072,Goodricke Group,Food Processing ,4.3,47 years old,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
7073,J.K. Helene Curtis,Fashion & Textile ,4.2,60 years old,"Salary & Benefits, Company Culture, Work Life Balance",
7074,Saurer,Financial Services ,3.6,171 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
7075,Intercraft Trading,Beauty & Personal Care ,4.5,30 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
7076,PSG Hospitals,Healthcare ,4.1,98 years old,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
7077,Connectwell Industries,Electronics Manufacturing ,4.2,46 years old,"Company Culture, Skill Development / Learning, Job Security",
7078,Alpha Corp,Real Estate ,4.3,21 years old,"Work Life Balance, Job Security, Company Culture",
7079,Rajdeep Buildcon,Engineering & Construction ,3.5,32 years old,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",
7080,Ministry of Rural Development India,Government ,4.4,50 years old,"Work Life Balance, Skill Development / Learning","Job Security, Salary & Benefits, Promotions / Appraisal"
7081,Hotstar,Internet ,3.6,9 years old,Promotions / Appraisal,
7082,Cognus Technology,Marketing & Advertising ,2.6,16 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
7083,Central Electronics,Government ,3.7,50 years old,"Promotions / Appraisal, Job Security, Skill Development / Learning",
7084,Frontier Business Systems,IT Services & Consulting ,3.5,30 years old,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
7085,Net2source,Recruitment ,3.9,17 years old,"Salary & Benefits, Company Culture, Work Life Balance",
7086,Wellknown Polyesters,Fashion & Textile ,4.1,28 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
7087,United Industries,Industrial Machinery ,3.6,39 years old,"Salary & Benefits, Company Culture, Promotions / Appraisal",
7088,Vishnu Solutions,BPO ,3.3,24 years old,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
7089,Paras Buildtech,Real Estate ,3.7,22 years old,Job Security,
7090,Sterling Software Private Limited,Software Product ,3.9,28 years old,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits"
7091,Ogilvy,Marketing & Advertising ,3.8,76 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
7092,Synophic Systems,Hardware & Networking ,3.5,23 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
7093,Manitou Equipment India,Industrial Machinery ,4,,"Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning"
7094,Swami Rama Himalayan University,Education & Training ,4.1,12 years old,"Work Life Balance, Job Security, Company Culture",
7095,EMDAD LLC,Oil & Gas ,4.2,45 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
7096,Aakash Health Care,Healthcare ,3.9,7 years old,,
7097,Eaton Industrial Systems,Industrial Machinery ,4.6,25 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
7098,Cloud Analogy,IT Services & Consulting ,3.1,,"Job Security, Work Life Balance, Company Culture",
7099,Techmango Technology,IT Services & Consulting ,4.6,10 years old,"Skill Development / Learning, Work Satisfaction, Work Life Balance",
7100,Aakash Health Care,Healthcare ,3.9,7 years old,,
7101,Imdaad,Facility Management Services ,4.4,17 years old,"Skill Development / Learning, Job Security, Work Life Balance",
7102,Kushal's Fashion Jewellery,Jewellery ,3.9,18 years old,Salary & Benefits,
7103,TalentSprint,EdTech ,4,16 years old,"Company Culture, Skill Development / Learning, Job Security",
7104,Total Shipping & Logistics,Logistics ,3.6,26 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
7105,Hamad Medical Corporation,Healthcare ,3.8,45 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7106,HomeBazaar.com,Internet ,4.2,11 years old,"Company Culture, Salary & Benefits, Skill Development / Learning",
7107,"MAYBRIGHT VENTURES PRIVATE LIMITED, Kolkata",FinTech ,3.5,8 years old,"Work Satisfaction, Work Life Balance, Promotions / Appraisal",
7108,Girl Power Talk,Internet ,4.9,5 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
7109,WNS Denali,,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
7110,Swipewire Technologies,Software Product ,3.8,,"Skill Development / Learning, Job Security",
7111,Amazon Pay,,3.9,,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
7112,Topsoe,,4.2,,"Work Life Balance, Company Culture, Salary & Benefits",Job Security
7113,NCDEX,Financial Services ,4.1,21 years old,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
7114,Olam,FMCG ,3.9,,Job Security,Promotions / Appraisal
7115,Sidel,Industrial Machinery ,3.4,59 years old,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
7116,Centillion Solutions and Services,IT Services & Consulting ,3.9,18 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
7117,Udaan Technologies,IT Services & Consulting ,4.1,13 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
7118,Celebrity Cruises,Travel & Tourism ,4.4,35 years old,"Skill Development / Learning, Work Life Balance, Job Security",
7119,Zacks Research,Financial Services ,3.1,46 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
7120,Bikaji Foods,FMCG ,4.1,37 years old,"Salary & Benefits, Company Culture",
7121,Varsity Education Management,Education & Training ,3.6,13 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
7122,Scorpion Express,Logistics ,3.9,24 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
7123,Fouress Engineering India,Engineering & Construction ,3.2,62 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
7124,Quadgen Wireless Solutions,Telecom ,3.6,17 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
7125,Mepro Pharmaceuticals,Pharma ,3.9,42 years old,"Job Security, Skill Development / Learning, Work Satisfaction",
7126,Porus Laboratories,Chemicals ,4.1,30 years old,"Work Life Balance, Salary & Benefits, Job Security",
7127,Iscon Balaji Foods,Food Processing ,4.2,12 years old,"Job Security, Work Life Balance",Promotions / Appraisal
7128,R.k.industries,Industrial Machinery ,3.7,,"Promotions / Appraisal, Job Security, Salary & Benefits",
7129,Bajaj Electronics,Internet ,3.9,,"Promotions / Appraisal, Job Security, Company Culture",
7130,Comcast India Engineering Center,Software Product ,4.2,61 years old,"Job Security, Work Life Balance, Company Culture",
7131,Archean Chemical Industries,Chemicals ,4.1,15 years old,"Job Security, Salary & Benefits, Company Culture",Work Life Balance
7132,Udaan Technologies,IT Services & Consulting ,4.1,13 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
7133,Celebrity Cruises,Travel & Tourism ,4.4,35 years old,"Skill Development / Learning, Work Life Balance, Job Security",
7134,NCDEX,Financial Services ,4.1,21 years old,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
7135,GSPL,Oil & Gas ,3.8,45 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Company Culture"
7136,Citrus Hotels,Hospitality ,4.5,16 years old,"Work Life Balance, Company Culture, Work Satisfaction",
7137,Radiant Export,Fashion & Textile ,4.4,33 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
7138,Centillion Solutions and Services,IT Services & Consulting ,3.9,18 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
7139,UNI Klinger,Industrial Machinery ,3.9,41 years old,"Job Security, Work Life Balance, Skill Development / Learning",
7140,Govind Milk & Milk Products,Food Processing ,4.2,28 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
7141,Namaste,8 years old ,4.1,8 years old,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
7142,Gleeds Hooloomann Consulting,Real Estate ,3.8,20 years old,"Work Life Balance, Company Culture, Job Security",
7143,Dangote Industries,Building Material ,3.8,46 years old,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
7144,QUTONE CERAMIC,Building Material ,3.8,16 years old,"Skill Development / Learning, Work Life Balance",
7145,R.k.industries,Industrial Machinery ,3.7,,"Promotions / Appraisal, Job Security, Salary & Benefits",
7146,Icl Fincorp,Financial Services ,3.2,25 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
7147,Rds Project,Real Estate ,4,32 years old,Promotions / Appraisal,
7148,Varsity Education Management,Education & Training ,3.6,13 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
7149,Scorpion Express,Logistics ,3.9,24 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
7150,International Crops Research Institute for the Semi-arid Tropics,Analytics & KPO ,4.2,,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
7151,Mepro Pharmaceuticals,Pharma ,3.9,42 years old,"Job Security, Skill Development / Learning, Work Satisfaction",
7152,Porus Laboratories,Chemicals ,4.1,30 years old,"Work Life Balance, Salary & Benefits, Job Security",
7153,Iscon Balaji Foods,Food Processing ,4.2,12 years old,"Job Security, Work Life Balance",Promotions / Appraisal
7154,Deshpande Foundation,Non-Profit ,4.1,28 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
7155,Systech Solutions,IT Services & Consulting ,3.8,31 years old,Skill Development / Learning,"Company Culture, Promotions / Appraisal, Salary & Benefits"
7156,JConnect Infotech,Recruitment ,3.5,16 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
7157,Jaypee Brothers Medical Publishers,Printing & Publishing ,3.5,55 years old,"Promotions / Appraisal, Company Culture, Skill Development / Learning",
7158,Kepler Healthcare,Pharma ,3.5,11 years old,"Salary & Benefits, Promotions / Appraisal, Job Security",
7159,Radiant Enterprise,Furniture & Furnishing ,4.1,22 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",
7160,M K Agro Tech,FMCG ,3.5,29 years old,"Promotions / Appraisal, Job Security, Skill Development / Learning",
7161,Gar Corporation,Real Estate ,3.8,42 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
7162,Vitech Systems Asia,IT Services & Consulting ,3.7,21 years old,Job Security,"Skill Development / Learning, Work Satisfaction"
7163,Epp Composites,Industrial Machinery ,3.2,38 years old,"Work Satisfaction, Promotions / Appraisal, Work Life Balance",
7164,A.K.AUTOMATICS,Auto Components ,3.9,55 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
7165,Quadgen Wireless Solutions,Telecom ,3.6,17 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
7166,Fouress Engineering India,Engineering & Construction ,3.2,62 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
7167,Boston Institute of Analytics,1 years old ,4.5,1 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
7168,Altera Digital Health,,3.6,,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
7169,Bajaj Electronics,Internet ,3.9,,"Promotions / Appraisal, Job Security, Company Culture",
7170,Comcast India Engineering Center,Software Product ,4.2,61 years old,"Job Security, Work Life Balance, Company Culture",
7171,Okaya Electric Vehicles,44 years old ,3.7,44 years old,"Promotions / Appraisal, Company Culture, Job Security",
7172,Sterling Manufacturing Company,1-10 Employees ,4.4,,"Work Life Balance, Company Culture, Promotions / Appraisal",
7173,Jyothy Labs,,4.3,,"Job Security, Company Culture, Salary & Benefits",
7174,Digital Aptech,IT Services & Consulting ,4.5,12 years old,"Company Culture, Work Life Balance, Work Satisfaction",
7175,Bonito Designs,Architecture & Interior Design ,2.5,12 years old,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",
7176,Care IT Solutions,IT Services & Consulting ,4.1,21 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
7177,Maneesh Pharmaceuticals,Pharma ,4,49 years old,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
7178,Harita Seating Systems,Auto Components ,3.9,14 years old,Skill Development / Learning,
7179,DRN Infrastructure,Power ,3.9,41 years old,Job Security,"Salary & Benefits, Promotions / Appraisal"
7180,Sree Metaliks,Industrial Machinery ,4.3,29 years old,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
7181,Bharatiya Vidya Bhavan,Education & Training ,4.2,86 years old,"Skill Development / Learning, Job Security, Company Culture",
7182,ANY Graphics,Printing & Publishing ,4.2,25 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
7183,K.R.Pulp & Papers,Pulp & Paper ,4,29 years old,"Salary & Benefits, Promotions / Appraisal",
7184,Videocon Telecommunications,Telecom ,4.4,16 years old,"Work Satisfaction, Skill Development / Learning, Work Life Balance",Salary & Benefits
7185,Meru cabs,Internet ,4.2,17 years old,"Work Life Balance, Work Satisfaction, Company Culture",
7186,Frontline NCR Business Solutions,Facility Management Services ,4,17 years old,"Promotions / Appraisal, Job Security, Company Culture",
7187,Indiana Gratings,Import & Export ,4.1,54 years old,"Promotions / Appraisal, Salary & Benefits",
7188,ARK Infosolutions,IT Services & Consulting ,4,12 years old,"Company Culture, Work Life Balance",Promotions / Appraisal
7189,T.G.I. Friday's,Hospitality ,4.1,59 years old,"Salary & Benefits, Job Security",
7190,Modern Insulators,Electrical Equipment ,4,39 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning"
7191,OSI Technologies,IT Services & Consulting ,3.7,31 years old,Skill Development / Learning,
7192,Zeta Global,Marketing & Advertising ,4.1,17 years old,"Company Culture, Work Life Balance, Job Security",
7193,Garuda Power,Industrial Machinery ,3.2,15 years old,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
7194,WaterHealth International,Waste Management ,4,19 years old,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Job Security, Salary & Benefits"
7195,Nirmal Industrial Controls,Industrial Automation ,4,51 years old,"Job Security, Skill Development / Learning, Company Culture",
7196,P.N. International,Import & Export ,4.1,26 years old,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal
7197,Hitek Syndicate,Financial Services ,3.1,31 years old,"Salary & Benefits, Company Culture, Promotions / Appraisal",
7198,Bell Finvest,NBFC ,2.8,30 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
7199,Accuster Technologies,Healthcare ,3.6,15 years old,"Salary & Benefits, Company Culture, Job Security",
7200,Maharani Innovative Paints,Chemicals ,3.3,44 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
7201,Gemini Consulting & Services,IT Services & Consulting ,4.1,14 years old,"Work Life Balance, Job Security, Company Culture",
7202,Vikram Sarabhai Space Centre,Defence & Aerospace ,4.6,62 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
7203,Farida Group,Leather ,4.1,48 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
7204,Kemwell Biopharma,Biotechnology ,3.8,44 years old,"Job Security, Skill Development / Learning",
7205,Ness Digital Engineering,IT Services & Consulting ,3.3,26 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
7206,Nabard Consultancy Services,Management Consulting ,4.1,21 years old,"Work Life Balance, Company Culture","Job Security, Promotions / Appraisal, Salary & Benefits"
7207,Neel Auto,Industrial Machinery ,4.1,21 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
7208,Sewa Grih Rin,NBFC ,3.6,13 years old,"Company Culture, Work Satisfaction, Work Life Balance",
7209,Government Polytechnic College,Education & Training ,4.4,42 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal
7210,Finolex Pipes,Iron & Steel ,4,,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
7211,Newt Global,IT Services & Consulting ,3.9,20 years old,Work Life Balance,
7212,O2f info Solutions,Recruitment ,3.6,,"Job Security, Promotions / Appraisal, Skill Development / Learning",
7213,PharmaZell,Pharma ,4.4,78 years old,"Company Culture, Job Security, Skill Development / Learning",
7214,Decision Minds,IT Services & Consulting ,3.7,,"Company Culture, Skill Development / Learning, Work Life Balance",
7215,Sushee Infra & Mining,Engineering & Construction ,4.2,38 years old,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
7216,Centurion University of Technology and Management,Education & Training ,3.9,27 years old,Company Culture,Promotions / Appraisal
7217,Just In Time,Retail ,4.4,,"Skill Development / Learning, Work Life Balance, Job Security",
7218,Kamlesh Kumar Singh Engineers,Engineering & Construction ,4.3,35 years old,"Skill Development / Learning, Work Life Balance, Job Security",
7219,Vistra Corporate Services,Power ,3.6,18 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
7220,Delux Bearings,Auto Components ,4.2,68 years old,"Skill Development / Learning, Work Life Balance, Job Security",
7221,Crif Solutions,FinTech ,3.5,19 years old,"Promotions / Appraisal, Work Life Balance, Skill Development / Learning",
7222,Aries Agro,Agro Chemicals ,4,55 years old,"Job Security, Work Life Balance",
7223,Strata Geosystems,Engineering & Construction ,4.4,20 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",
7224,Wingtech Mobile Communication,Electronics Manufacturing ,4.1,,"Work Satisfaction, Skill Development / Learning, Work Life Balance",
7225,Franchise Alpha,Management Consulting ,4.7,10 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
7226,The Hi-tech Robotic Systemz,Emerging Technologies ,3.7,20 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
7227,Desnor Destination,Travel & Tourism ,4,,"Company Culture, Work Life Balance, Job Security",
7228,OSI Digital,IT Services & Consulting ,3.9,31 years old,Skill Development / Learning,Promotions / Appraisal
7229,Bijnis,Internet ,3.8,10 years old,"Job Security, Promotions / Appraisal",
7230,Orbit Techsol,IT Services & Consulting ,3.7,31 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
7231,CAMP Systems,IT Services & Consulting ,4.2,56 years old,"Job Security, Work Life Balance, Company Culture",
7232,Siechem Technologies,Electrical Equipment ,4.3,,"Job Security, Skill Development / Learning, Salary & Benefits",
7233,Reliance Foundation India,Education & Training ,4,33 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
7234,Canteen Stores Department,51-200 Employees ,4.3,76 years old,"Work Life Balance, Job Security, Company Culture",
7235,KHD Humboldt Wedag,Industrial Machinery ,4.3,48 years old,"Job Security, Work Life Balance, Work Satisfaction",
7236,United Telecoms,Telecom ,3.5,41 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
7237,ACS Group,501-1k Employees ,3.6,26 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
7238,Integrated Cleanroom Technologies,Facility Management Services ,4.4,21 years old,"Job Security, Salary & Benefits, Company Culture",
7239,UMSL,Engineering & Construction ,3.4,34 years old,"Promotions / Appraisal, Skill Development / Learning, Work Life Balance",
7240,Transact Global,BPO ,4,16 years old,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal
7241,RED CHIEF,Retail ,4.1,27 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
7242,Svasti Microfinance,Financial Services ,4.2,16 years old,"Company Culture, Job Security, Skill Development / Learning",
7243,Maple Digital Technology,Retail ,3.5,15 years old,"Work Life Balance, Promotions / Appraisal, Company Culture",
7244,Yahoo,Internet ,4.6,22 years old,"Company Culture, Work Life Balance, Salary & Benefits",
7245,Hyperlink Infosystem,Software Product ,4.6,13 years old,"Job Security, Skill Development / Learning, Work Life Balance",
7246,GeeksForGeeks,Education & Training ,3.7,15 years old,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Job Security"
7247,Polmon Instruments,Industrial Automation ,3.7,32 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7248,Tafe Access,Automobile ,4.2,64 years old,"Work Life Balance, Work Satisfaction, Salary & Benefits",
7249,Greytrix,IT Services & Consulting ,3.8,24 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
7250,SI-UK,EdTech ,3.9,18 years old,"Work Life Balance, Work Satisfaction",
7251,Unimark Remedies,Pharma ,3.2,42 years old,"Salary & Benefits, Company Culture, Work Satisfaction",
7252,S.M. Consultants,Management Consulting ,3.7,25 years old,"Company Culture, Salary & Benefits, Promotions / Appraisal",
7253,Smart Call Center Solutions,BPO ,3.2,9 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
7254,Goodrich Maritime,Logistics ,3.5,27 years old,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
7255,Mangalam Drugs & Organics,Pharma ,3.8,47 years old,"Job Security, Work Life Balance",Promotions / Appraisal
7256,Saurashtra Chemicals,Chemicals ,4.1,,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
7257,Pioneer Wincon,Power ,4.3,28 years old,"Job Security, Work Life Balance, Skill Development / Learning",
7258,D Light Energy,Waste Management ,3.7,17 years old,,
7259,Mövenpick Hotels & Resorts,Hospitality ,4.2,51 years old,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
7260,Tata Asset Management Private Limited,Financial Services ,3.4,30 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
7261,Reliable Business Solutions & Services,BPO ,3.2,14 years old,"Company Culture, Salary & Benefits, Promotions / Appraisal",
7262,Citec Engineering,Engineering & Construction ,3.4,40 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
7263,RPG Group,Engineering & Construction ,4.1,204 years old,"Work Life Balance, Work Satisfaction, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
7264,Acme Industries,11-50 Employees ,4.2,,"Skill Development / Learning, Company Culture, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
7265,Premium Chick Feeds,Agriculture ,3.6,33 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
7266,Plaza Premium Lounge,Hospitality ,4.4,26 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
7267,Platinum Waltech,Engineering & Construction ,2.1,27 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
7268,Flex Technologies,1k-5k Employees ,4.1,,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
7269,CNSI,IT Services & Consulting ,4.3,30 years old,"Work Life Balance, Job Security, Company Culture",
7270,Apollo Telehealth Services,Healthcare ,4,14 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
7271,Liebherr Appliances India,Consumer Electronics & Appliances ,4.2,75 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
7272,Shakti Hormann,Architecture & Interior Design ,3.4,36 years old,"Promotions / Appraisal, Company Culture, Skill Development / Learning",
7273,DMI DRAEXLMAIER MANUFACTURING,Industrial Machinery ,4.4,66 years old,"Work Life Balance, Company Culture, Job Security",
7274,IQ City Medical College,Education & Training ,3.8,12 years old,"Promotions / Appraisal, Salary & Benefits",
7275,M Tech Innovations,Electronics Manufacturing ,3.4,32 years old,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",
7276,Narayana Superspeciality Hospital,Healthcare ,4.2,24 years old,"Skill Development / Learning, Job Security, Salary & Benefits",
7277,Ebix Smartclass Educational Services,EdTech ,3.8,10 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
7278,Confiance BizSol Private Limited,Analytics & KPO ,3.6,7 years old,,
7279,Ajanta Shoes,Fashion & Textile ,3.3,68 years old,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
7280,Reliance Foundation India,Education & Training ,4,33 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
7281,D Light Energy,Waste Management ,3.7,17 years old,,
7282,Saurashtra Chemicals,Chemicals ,4.1,,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
7283,Reliable Business Solutions & Services,BPO ,3.2,14 years old,"Company Culture, Salary & Benefits, Promotions / Appraisal",
7284,Pioneer Wincon,Power ,4.3,28 years old,"Job Security, Work Life Balance, Skill Development / Learning",
7285,Mangalam Drugs & Organics,Pharma ,3.8,47 years old,"Job Security, Work Life Balance",Promotions / Appraisal
7286,Apollo Telehealth Services,Healthcare ,4,14 years old,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
7287,Liebherr Appliances India,Consumer Electronics & Appliances ,4.2,75 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
7288,Shakti Hormann,Architecture & Interior Design ,3.4,36 years old,"Promotions / Appraisal, Company Culture, Skill Development / Learning",
7289,Ram Kripal Singh Construction,Engineering & Construction ,4.1,,Skill Development / Learning,"Company Culture, Promotions / Appraisal"
7290,Flex Technologies,1k-5k Employees ,4.1,,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
7291,Oaknorth Bank,Banking ,3.1,9 years old,"Job Security, Work Satisfaction, Company Culture",
7292,Ready Roti,Food Processing ,3.9,31 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
7293,Plaza Premium Lounge,Hospitality ,4.4,26 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
7294,Goodrich Maritime,Logistics ,3.5,27 years old,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
7295,Tata Asset Management Private Limited,Financial Services ,3.4,30 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
7296,EqualizeRCM Services,IT Services & Consulting ,3.6,20 years old,"Work Life Balance, Salary & Benefits, Promotions / Appraisal",
7297,Filo Edtech,51-200 Employees ,3.2,,"Job Security, Promotions / Appraisal, Work Satisfaction",
7298,Atos Services,IT Services & Consulting ,3.9,27 years old,"Work Life Balance, Job Security, Company Culture",Salary & Benefits
